date;season;location;roost;roost type;box exp;other animals in roost;time;bat.id;bag nr;genus;species;transmitter;tx mass;tx attachment;tx time on;recap;mass w bag;mass of bag;mass of bat;sex;age;FA.right;FA.left;repro state;nipple ;testes;testes size;bucchal gland;streblids;streblid counts;mites;mite counts;other parasites;parasites coll?;wingpunch (Dna/MHC);wingpunch samples;isotopes;fur samples (isotopes);feces;foto;blood smear;blood sample;vaginal smear;teeth;Team;comment;;;;;
2021-04-29;spring;Wollmatingen;4;Rundkasten;;23;day;NA;K37;Nyctalus;noctula;NA;NA;NA;NA;NA;52.5;23.5;29;f;a;NA;53.8;plac;s;NA;NA;xs;no;0;yes;3;NA;NA;no;no;no;no;yes;NA;NA;NA;NA;2;Lara, Dina;;;;feces for Gisela;;
2021-04-29;spring;Wollmatingen;4;Rundkasten;;23;day;NA;K7;Nyctalus;noctula;NA;NA;NA;NA;NA;52.5;24;28.5;f;a;NA;54.17;nulli;s;NA;NA;s;no;1;yes;1;NA;NA;no;no;no;no;yes;NA;NA;NA;NA;0;Lara, Dina;;;;feces for Gisela;;
2021-04-29;spring;Wollmatingen;4;Rundkasten;;23;day;NA;A8;Nyctalus;noctula;NA;NA;NA;NA;NA;56.5;24;32.5;f;a;NA;55.14;nulli;s;NA;NA;not visible;no;2;yes;5;NA;NA;no;no;no;no;yes;NA;NA;NA;NA;0;Lara, Dina;;;;feces for Gisela;;
2021-04-29;spring;Wollmatingen;4;Rundkasten;;23;day;NA;K12;Nyctalus;noctula;NA;NA;NA;NA;NA;52.5;24;28.5;f;a;NA;54.1;plac;s;NA;NA;s;no;3;yes;4;NA;NA;no;no;no;no;yes;NA;NA;NA;NA;0;Lara, Dina;;;;feces for Gisela;;
2021-04-29;spring;Wollmatingen;4;Rundkasten;;23;day;NA;A27;Nyctalus;noctula;NA;NA;NA;NA;NA;55;23;32;f;a;NA;55.34;plac;s;NA;NA;s;no;5;yes;1;NA;NA;no;no;no;no;yes;NA;NA;NA;NA;0;Lara, Dina;;;;feces for Gisela;;
2021-04-29;spring;Wollmatingen;4;Rundkasten;;23;day;NA;blau;Nyctalus;noctula;NA;NA;NA;NA;NA;54.5;22;32.5;f;a;NA;54.53;nulli;s;NA;NA;s;no;8;no;0;NA;NA;no;no;no;no;yes;NA;NA;NA;NA;0;Lara, Dina;;;;feces for Gisela;;
2021-04-29;spring;Wollmatingen;4;Rundkasten;;23;day;191061/25052769;K11;Nyctalus;noctula;NA;NA;NA;NA;NA;58;25;33;f;a;NA;55.8;plac;s;NA;NA;not visible;no;9;yes;1;NA;NA;yes;yes;yes;yes;yes;NA;NA;NA;NA;1;Lara, Dina;;;;feces for Gisela;;
2021-04-29;spring;Wollmatingen;4;Rundkasten;;23;day;NA;A23;Nyctalus;noctula;NA;NA;NA;NA;NA;53;24;29;f;a;NA;54.28;plac;s;NA;NA;s;no;10;yes;2;NA;NA;no;no;no;no;yes;NA;NA;NA;NA;0;Lara, Dina;;;;feces for Gisela;;
2021-04-29;spring;Wollmatingen;4;Rundkasten;;23;day;NA;Z5;Nyctalus;noctula;NA;NA;NA;NA;NA;54;23;31;f;a;NA;53.93;plac;s;NA;NA;not visible;no;12;yes;5;NA;NA;no;no;no;no;yes;NA;NA;NA;NA;1;Lara, Dina;;;;feces for Gisela;;
2021-04-29;spring;Wollmatingen;4;Rundkasten;;23;day;NA;A26;Nyctalus;noctula;NA;NA;NA;NA;NA;52;21;31;f;a;NA;54.26;plac;s;NA;NA;not visible;no;13;yes;5;NA;NA;no;no;no;no;yes;NA;NA;NA;NA;1;Lara, Dina;;;;feces for Gisela;;
2021-04-29;spring;Wollmatingen;4;Rundkasten;;23;day;NA;K24;Nyctalus;noctula;NA;NA;NA;NA;NA;53;25.5;27.5;f;a;NA;53.6;nulli;s;NA;NA;m;no;15;no;0;NA;NA;no;no;no;no;yes;NA;NA;NA;NA;0;Lara, Dina;;;;feces for Gisela;;
